aesthetics,aesRound,memory,memRound,quality,quaRound,anomaly,anomalyRound,index
0.595952001,0.6,0.598360875,0.6,0.409839078,0.4,0.150040188,0.2,52
0.574942765,0.6,0.713864946,0.7,0.386278121,0.4,0.138975921,0.1,53
0.604639091,0.6,0.583122207,0.6,0.345445351,0.3,0.144341896,0.1,54
0.616577957,0.6,0.50494445,0.5,0.336041639,0.3,0.139167918,0.1,55
0.594807125,0.6,0.648914675,0.6,0.334543582,0.3,0.172986001,0.2,56
0.452223384,0.5,0.61754372,0.6,0.315244265,0.3,0.160485931,0.2,57
0.436229683,0.4,0.615176718,0.6,0.324768446,0.3,0.168039795,0.2,58
0.276237339,0.3,0.611863119,0.6,0.411407964,0.4,0.198431747,0.2,59
0.375922285,0.4,0.5036105,0.5,0.462811805,0.5,0.22170948,0.2,60
0.292521778,0.3,0.436143207,0.4,0.439406244,0.4,0.218940829,0.2,61
0.432799216,0.4,0.369127598,0.4,0.392395215,0.4,0.2573088,0.3,62
0.43593418,0.4,0.279012993,0.3,0.398472439,0.4,0.227188347,0.2,63
0.442622279,0.4,0.276832113,0.3,0.57540182,0.6,0.277623898,0.3,64
0.403307562,0.4,0.22761722,0.2,0.815415304,0.8,0.286559901,0.3,65
0.398131496,0.4,0.22462705,0.2,0.874118864,0.9,0.239002316,0.2,66
0.247229164,0.2,0.19257562,0.2,0.775485063,0.8,0.202240679,0.2,67
0.342940944,0.3,0.162554774,0.2,0.797792231,0.8,0.190424325,0.2,68
0.415315858,0.4,0.19819814,0.2,0.867235949,0.9,0.205039938,0.2,69
0.308639262,0.3,0.26722429,0.3,0.740343369,0.7,0.204950498,0.2,70
0.353294058,0.4,0.270909118,0.3,0.645619526,0.6,0.18701171,0.2,71
0.38200293,0.4,0.265326138,0.3,0.622725652,0.6,0.15913122,0.2,72
0.460997972,0.5,0.330491076,0.3,0.659503804,0.7,0.220896176,0.2,73
0.482335472,0.5,0.345578326,0.3,0.718938738,0.7,0.209959907,0.2,74
0.440418586,0.4,0.380600596,0.4,0.73823526,0.7,0.198051729,0.2,75
0.387990568,0.4,0.322131097,0.3,0.683453112,0.7,0.188928498,0.2,76
0.344832531,0.3,0.327005107,0.3,0.641866016,0.6,0.214192981,0.2,77
0.318216897,0.3,0.352910267,0.4,0.5553273,0.6,0.236497214,0.2,78
0.184277541,0.2,0.48383238,0.5,0.345880486,0.3,0.22558082,0.2,79
0.199224334,0.2,0.322934476,0.3,0.603484682,0.6,0.29739719,0.3,80
0.132486244,0.1,0.181132343,0.2,0.633228777,0.6,0.255794688,0.3,81
0.090403197,0.1,0.167623826,0.2,0.66151523,0.7,0.235745922,0.2,82
0.146684747,0.1,0.170953669,0.2,0.641279773,0.6,0.223374645,0.2,83
0.244321167,0.2,0.137029201,0.1,0.621042145,0.6,0.169573385,0.2,84
0.262299398,0.3,0.129972687,0.1,0.652963524,0.7,0.21448197,0.2,85
0.435494592,0.4,0.184843031,0.2,0.603491664,0.6,0.228686559,0.2,86
0.30426006,0.3,0.148064077,0.1,0.622911306,0.6,0.223382993,0.2,87
