aesthetics,aesRound,memory,memRound,quality,quaRound,anomaly,anomalyRound,index
1,1,0.916030534,0.9,0.62095229,0.6,0.567957057,0.6,23
0.820711285,0.8,0.946564885,0.9,0.497352849,0.5,0.486353886,0.5,24
0.732710186,0.7,0.908396947,0.9,0.572110168,0.6,0.58296575,0.6,25
0.823556201,0.8,0.824427481,0.8,0.694686248,0.7,0.73487844,0.7,26
0.896292001,0.9,0.79389313,0.8,0.747355083,0.7,0.820399171,0.8,27
0.391187515,0.4,0.908396947,0.9,0.569393942,0.6,0.775183633,0.8,28
0.360132648,0.4,0.664122137,0.7,0.628147158,0.6,0.796597188,0.8,29
0.408558343,0.4,0.297709924,0.3,0.666177826,0.7,0.920043492,0.9,30
0.427475839,0.4,0.450381679,0.5,0.913977757,0.9,0.791930712,0.8,31
0.702105879,0.7,0.458015267,0.5,0.927124158,0.9,0.711883103,0.7,32
0.66740689,0.7,0.519083969,0.5,0.816382472,0.8,0.559364211,0.6,33
0.646843477,0.6,0.236641221,0.2,0.896926099,0.9,0.775659142,0.8,34
0.637879216,0.6,0.549618321,0.5,0.871637728,0.9,0.844156587,0.8,35
0.432697454,0.4,0.625954198,0.6,0.840622407,0.8,0.699251021,0.7,36
0.619799241,0.6,0.488549618,0.5,0.801530554,0.8,0.50853605,0.5,37
0.230544406,0.2,0.305343511,0.3,0.900752591,0.9,0.576517981,0.6,38
0.549718924,0.5,0.312977099,0.3,1,1,0.382190571,0.4,39
0.523562977,0.5,0.351145038,0.4,0.881200139,0.9,0.379523658,0.4,40
0.768644334,0.8,0.312977099,0.3,0.923724299,0.9,0.298577163,0.3,41
0.674949572,0.7,0.328244275,0.3,0.895812293,0.9,0.297811145,0.3,42
0.503681393,0.5,0.236641221,0.2,0.878878503,0.9,0.354260739,0.4,43
0.314728763,0.3,0.282442748,0.3,0.939880894,0.9,0.188981043,0.2,44
0.414607516,0.4,0.534351145,0.5,0.771754405,0.8,0.369462621,0.4,45
