IP2,IP5,Boston,Park
,,15.421722,11.350943
,,15.022883,10.837364
,,13.794233,10.192529
,,12.150708,10.05211
,,12.648817,9.430853
,,12.952715,9.025185
,,11.420948,9.151815
,,14.010835,8.952361
,,16.593208,10.387887
,,18.431242,9.652435
,,17.201721,9.673706
,,15.563719,9.773919
,,12.579898,10.332537
,,9.890911,11.519789
,,9.599873,13.340626
,,9.214684,14.173022
,,9.016709,16.929829
,,9.877836,20.293581
,,11.014571,20.484922
,,12.960654,19.649946
,,12.437171,18.199627
,,11.5611,16.432594
,,11.194973,15.057813
,,10.956095,13.644071
,,10.627831,13.974694
,,11.041296,14.057039
,,13.14654,14.125256
,,12.270881,13.691989
,,13.124748,13.886456
,,15.246754,13.937469
,,14.842709,14.648678
,,14.140592,17.791851
,,16.391811,18.952164
,,16.254328,18.512621
,,13.720231,17.74509
,,12.621741,16.123232
,,11.952297,16.024326
,,12.473178,16.492851
,,12.114539,16.060778
,,12.802742,16.434395
,,12.67655,18.463867
,,11.061707,18.519341
,,10.741769,18.352646
,,12.153468,18.317202
,,11.313314,18.161886
,,12.797865,18.155497
,,12.254589,18.523085
,,11.494126,19.46624
,,12.640162,19.765224
,,11.479485,19.022259
,,10.637728,19.200932
,,10.900344,18.85701
,,11.635044,17.537828
,,11.08178,14.610348
,,8.995819,13.297827
,,7.937593,12.573539
,,8.271439,11.828171
,,9.370811,11.18269
,,10.141768,10.665027
,,10.960473,10.695189
,,11.156673,10.125792
,,11.63088,10.398074
,,12.999106,11.117553
,,14.095844,10.829462
,,15.73798,12.042886
,,20.031708,12.052172
,,19.492363,11.728041
,,14.666975,10.737188
,,11.128483,10.265838
,,10.75756,10.141315
,,11.721116,9.765656
,,10.740934,10.132586
,,11.106937,11.069031
,,11.606438,11.779642
,,10.89642,11.878134
,,10.118526,10.962601
,,9.971509,10.500051
,,10.297003,10.745536
,,9.901329,10.430699
,,9.43261,10.223209
,,9.587658,10.340626
,,10.47156,9.817849
,,11.501642,10.806812
,,12.385797,11.658741
,,13.694701,11.657605
,,15.708113,11.860429
,,14.12999,11.595098
,,12.273837,10.9686
,,11.382543,11.041556
,,10.236177,11.26656
,,10.829582,10.939507
,,10.560998,11.428734
,,10.546198,11.295029
,,10.955372,10.23039
,,10.508764,9.192506
,,10.79966,10.267956
,,10.464067,11.086759
,,9.991742,10.911809
,,9.561667,10.311583
,,10.366947,10.039833
,,10.508729,9.920679
,,9.622997,9.797582
,,10.113841,9.672262
,,10.273849,9.619333
,,11.020613,10.977037
,,11.657462,10.419936
,,12.590927,10.928976
,,12.739666,12.571435
,,12.193576,13.672064
,,10.982708,16.789549
,,11.147291,19.210629
,,11.07128,19.365007
,,10.787177,19.320259
,,10.617925,19.076477
,,10.086679,17.489815
,,10.346794,17.033638
,,10.360495,17.456039
,,10.009945,19.56072
,,9.904764,20.094124
,,9.834533,20.142956
,,10.219109,19.921486
,,9.882554,19.682968
,,9.225793,19.677689
,,8.295519,19.692699
,,7.994487,19.498611
,,9.12634,19.451141
,,10.459965,19.044044
,,11.052271,18.58062
,,10.865168,18.17753
,,10.77084,17.054289
,,10.973644,14.922426
,,10.819173,14.7208
,,9.37673,14.670444
,,10.108393,14.417886
,,9.84933,12.96085
,,7.728099,12.031713
,,6.20357,11.663919
,,6.660438,11.570611
,,6.711326,11.248766
,,8.419774,10.670359
,,8.993634,10.662814
,,10.506622,10.241697
,,11.224899,10.85597
,,11.790166,11.62933
,,11.566545,11.414237
,,11.12047,10.605618
,,12.001525,10.258847
,,12.465937,10.392674
,,12.315221,10.739818
,,11.594582,10.546526
,,11.334505,9.654764
,,11.299592,10.330843
,,11.689669,10.238319
,,11.710363,11.377722
,,11.406347,11.616879
,,11.369663,12.591582
,,12.464861,13.646798
,,11.542397,11.982639
,,9.979177,10.614415
,,9.85027,11.148948
,,9.328889,11.360243
,,9.204263,11.285357
,,8.859575,11.527746
,,9.172408,12.011676
,,10.049353,12.379708
,,10.2707,11.820207
,,10.602813,11.074682
,,10.705385,10.729635
,,11.050526,10.317107
,,11.207359,9.908347
,,11.420995,10.185355
,,11.067362,10.123782
,,11.71378,12.781272
,,11.363182,13.646627
,,10.901564,14.179413
,,11.961246,15.841702
,,12.692467,18.775429
,,12.178799,21.476725
,,11.964617,22.321148
,,12.257893,21.599098
,,11.806594,19.369627
,,10.710798,15.404003
,,11.056472,14.831592
,,11.291945,14.378623
,,10.562286,14.433862
,,9.616397,13.901988
,,10.205878,15.610137
,,10.428109,17.628771
,,10.197325,18.545393
,,10.6776,18.226784
,,11.413431,16.207443
